id,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,team,venue_state,win_flag,is_home,team_home_state,is_interstate_travel,round_order,team_winrate_last3,team_winrate_last5,team_winrate_last10,team_avgmargin_last3,team_avgmargin_last5,team_avgmargin_last10,team_streak_entering,days_since_last_game,season_winrate_to_date,ladder_rank_to_date,h2h_winrate_vs_opp,h2h_games_played
10722,1,1983-03-26,1983,H,Richmond Tigers,4.0 8.6 13.9 20.16,136,4.3 7.4 10.9 11.10,76,W,60,Princes Park,28498.0,20,16,11,10,Carlton Blues,VIC,1,1,VIC,0,1,,,,,,,0,,,,,0
11120,1,1983-03-26,1983,A,Melbourne Demons,5.7 9.10 15.12 20.15,135,6.2 12.3 17.7 19.11,125,W,10,Melbourne Cricket Ground,72274.0,20,15,19,11,Collingwood Magpies,VIC,1,0,VIC,0,1,,,,,,,0,,,,,0
11905,1,1983-03-26,1983,H,Hawthorn Hawks,1.4 5.10 10.12 16.16,112,6.3 12.4 17.8 20.11,131,L,-19,Junction Oval,15626.0,16,16,20,11,Fitzroy Lions,VIC,0,1,VIC,0,1,,,,,,,0,,,,,0
12327,1,1983-03-26,1983,H,Western Bulldogs,3.2 5.10 8.14 15.16,106,3.2 5.3 9.8 11.9,75,W,31,Waverley Park,18377.0,15,16,11,9,Geelong Cats,VIC,1,1,VIC,0,1,,,,,,,0,,,,,0
12720,1,1983-03-26,1983,A,Fitzroy Lions,6.3 12.4 17.8 20.11,131,1.4 5.10 10.12 16.16,112,W,19,Junction Oval,15626.0,20,11,16,16,Hawthorn Hawks,VIC,1,0,VIC,0,1,,,,,,,0,,,,,0
13514,1,1983-03-26,1983,H,Collingwood Magpies,6.2 12.3 17.7 19.11,125,5.7 9.10 15.12 20.15,135,L,-10,Melbourne Cricket Ground,72274.0,19,11,20,15,Melbourne Demons,VIC,0,1,VIC,0,1,,,,,,,0,,,,,0
13120,1,1983-03-26,1983,H,St Kilda Saints,3.3 6.7 8.11 14.16,100,4.2 8.5 11.11 12.15,87,W,13,Aegis Park,18496.0,14,16,12,15,North Melbourne Kangaroos,UNKNOWN,1,1,VIC,0,1,,,,,,,0,,,,,0
13972,1,1983-03-26,1983,A,Carlton Blues,4.3 7.4 10.9 11.10,76,4.0 8.6 13.9 20.16,136,L,-60,Princes Park,28498.0,11,10,20,16,Richmond Tigers,VIC,0,0,VIC,0,1,,,,,,,0,,,,,0
14347,1,1983-03-26,1983,A,North Melbourne Kangaroos,4.2 8.5 11.11 12.15,87,3.3 6.7 8.11 14.16,100,L,-13,Aegis Park,18496.0,12,15,14,16,St Kilda Saints,UNKNOWN,0,0,VIC,1,1,,,,,,,0,,,,,0
15420,1,1983-03-26,1983,A,Geelong Cats,3.2 5.3 9.8 11.9,75,3.2 5.10 8.14 15.16,106,L,-31,Waverley Park,18377.0,11,9,15,16,Western Bulldogs,VIC,0,0,VIC,0,1,,,,,,,0,,,,,0
