team,opponent,year,round,match_date,result,home_away,venue,crowd,score,margin
Essendon Bombers,Sydney Swans,1983,1,1983-03-27,L,A,Sydney Cricket Ground,11916.0,,-1
Essendon Bombers,St Kilda Saints,1983,2,1983-04-04,W,H,Windy Hill,28071.0,,61
Essendon Bombers,Fitzroy Lions,1983,3,1983-04-09,L,A,Junction Oval,21478.0,,-41
St Kilda Saints,Geelong Cats,1983,4,1983-04-16,L,H,Waverley Park,20826.0,,-11
St Kilda Saints,Sydney Swans,1983,5,1983-04-24,L,A,Sydney Cricket Ground,11276.0,,-23
Essendon Bombers,North Melbourne Kangaroos,1983,5,1983-04-25,W,H,Waverley Park,47722.0,,5
Essendon Bombers,Hawthorn Hawks,1983,8,1983-05-14,L,A,Princes Park,21835.0,,-42
Essendon Bombers,Melbourne Demons,1983,9,1983-05-21,W,H,Windy Hill,19955.0,,34
Essendon Bombers,Sydney Swans,1983,12,1983-06-11,W,H,Windy Hill,20012.0,,73
St Kilda Saints,North Melbourne Kangaroos,1983,12,1983-06-11,L,H,Moorabbin Oval,16467.0,,-31
Essendon Bombers,St Kilda Saints,1983,13,1983-06-18,W,A,Waverley Park,30616.0,,47
St Kilda Saints,Essendon Bombers,1983,13,1983-06-18,L,H,Waverley Park,30616.0,,-47
St Kilda Saints,Hawthorn Hawks,1983,14,1983-06-25,L,A,Princes Park,8188.0,,-69
St Kilda Saints,Geelong Cats,1983,15,1983-07-02,W,A,GMHBA Stadium,11501.0,,52
St Kilda Saints,Sydney Swans,1983,16,1983-07-16,W,H,Moorabbin Oval,17861.0,,29
St Kilda Saints,Melbourne Demons,1983,18,1983-07-30,L,H,Moorabbin Oval,20218.0,,-17
Essendon Bombers,Hawthorn Hawks,1983,19,1983-08-06,W,H,Windy Hill,19237.0,,46
St Kilda Saints,Carlton Blues,1983,19,1983-08-06,L,A,Princes Park,19217.0,,-107
St Kilda Saints,Richmond Tigers,1983,20,1983-08-13,W,A,Waverley Park,21811.0,,75
St Kilda Saints,Western Bulldogs,1983,21,1983-08-20,L,H,Moorabbin Oval,15860.0,,-6
St Kilda Saints,Collingwood Magpies,1983,22,1983-08-27,L,A,Victoria Park,19016.0,,-63
Essendon Bombers,St Kilda Saints,1984,1,1984-03-31,W,A,Moorabbin Oval,26019.0,,37
St Kilda Saints,Essendon Bombers,1984,1,1984-03-31,L,H,Moorabbin Oval,26019.0,,-37
Essendon Bombers,Hawthorn Hawks,1984,2,1984-04-07,L,H,Windy Hill,22841.0,,-6
St Kilda Saints,Collingwood Magpies,1984,2,1984-04-07,L,A,Victoria Park,26647.0,,-93
Essendon Bombers,Collingwood Magpies,1984,3,1984-04-14,W,H,Windy Hill,28120.0,,63
St Kilda Saints,Sydney Swans,1984,3,1984-04-14,L,H,Moorabbin Oval,15127.0,,-29
Essendon Bombers,Melbourne Demons,1984,4,1984-04-21,W,A,Waverley Park,31535.0,,35
St Kilda Saints,Hawthorn Hawks,1984,4,1984-04-23,L,A,Princes Park,14125.0,,-60
Essendon Bombers,Richmond Tigers,1984,5,1984-04-25,W,A,Melbourne Cricket Ground,55141.0,,49
St Kilda Saints,Geelong Cats,1984,5,1984-04-28,L,H,Moorabbin Oval,16892.0,,-31
Essendon Bombers,Fitzroy Lions,1984,6,1984-05-05,W,A,Junction Oval,20274.0,,51
St Kilda Saints,Carlton Blues,1984,6,1984-05-05,L,A,Princes Park,18398.0,,-14
Essendon Bombers,Western Bulldogs,1984,7,1984-05-12,L,H,Windy Hill,21196.0,,-22
St Kilda Saints,North Melbourne Kangaroos,1984,7,1984-05-12,W,A,Waverley Park,18066.0,,47
Essendon Bombers,Geelong Cats,1984,8,1984-05-19,W,H,Waverley Park,39926.0,,43
St Kilda Saints,Western Bulldogs,1984,8,1984-05-19,W,H,Moorabbin Oval,19100.0,,18
Essendon Bombers,Carlton Blues,1984,9,1984-05-26,W,H,Windy Hill,27346.0,,47
Essendon Bombers,North Melbourne Kangaroos,1984,10,1984-06-02,W,A,Aegis Park,17290.0,,2
St Kilda Saints,Fitzroy Lions,1984,10,1984-06-02,L,H,Waverley Park,20618.0,,-64
Essendon Bombers,Sydney Swans,1984,11,1984-06-09,W,H,Windy Hill,21740.0,,41
St Kilda Saints,Melbourne Demons,1984,11,1984-06-09,L,H,Moorabbin Oval,20080.0,,-36
Essendon Bombers,Hawthorn Hawks,1984,12,1984-06-16,L,A,Princes Park,25726.0,,-47
St Kilda Saints,Collingwood Magpies,1984,12,1984-06-16,L,H,Moorabbin Oval,17648.0,,-6
Essendon Bombers,Collingwood Magpies,1984,13,1984-06-23,W,A,Victoria Park,32701.0,,34
St Kilda Saints,Sydney Swans,1984,13,1984-06-24,W,A,Sydney Cricket Ground,10392.0,,25
St Kilda Saints,Geelong Cats,1984,15,1984-07-07,L,A,GMHBA Stadium,10861.0,,-13
St Kilda Saints,Carlton Blues,1984,16,1984-07-21,W,H,Moorabbin Oval,17182.0,,21
St Kilda Saints,North Melbourne Kangaroos,1984,17,1984-07-28,L,H,Waverley Park,12643.0,,-2
St Kilda Saints,Western Bulldogs,1984,18,1984-08-04,L,A,Western Oval,13356.0,,-33
St Kilda Saints,Richmond Tigers,1984,19,1984-08-11,W,H,Moorabbin Oval,11205.0,,7
St Kilda Saints,Essendon Bombers,1984,20,1984-08-18,L,A,Windy Hill,13842.0,,-55
St Kilda Saints,Melbourne Demons,1984,21,1984-08-25,L,A,Waverley Park,14079.0,,-38
